,customer_id,txn_date,txn_type,txn_amount
0,429,2020-01-21,deposit,82
1,155,2020-01-10,deposit,712
2,398,2020-01-01,deposit,196
3,255,2020-01-14,deposit,563
4,185,2020-01-29,deposit,626
5,309,2020-01-13,deposit,995
6,312,2020-01-20,deposit,485
7,376,2020-01-03,deposit,706
8,188,2020-01-13,deposit,601
9,138,2020-01-11,deposit,520
10,373,2020-01-18,deposit,596
11,361,2020-01-12,deposit,797
12,169,2020-01-10,deposit,628
13,402,2020-01-05,deposit,435
14,60,2020-01-19,deposit,495
15,378,2020-01-07,deposit,193
16,383,2020-01-26,deposit,889
17,292,2020-01-10,deposit,136
18,63,2020-01-06,deposit,234
19,499,2020-01-02,deposit,147
20,130,2020-01-02,deposit,557
21,441,2020-01-12,deposit,418
22,53,2020-01-24,deposit,22
23,30,2020-01-26,deposit,33
24,305,2020-01-09,deposit,36
25,136,2020-01-11,deposit,882
26,276,2020-01-07,deposit,926
27,410,2020-01-07,deposit,601
28,152,2020-01-01,deposit,917
29,123,2020-01-16,deposit,423
30,17,2020-01-19,deposit,465
31,472,2020-01-18,deposit,495
32,100,2020-01-06,deposit,158
33,56,2020-01-18,deposit,864
34,455,2020-01-07,deposit,329
35,357,2020-01-20,deposit,780
36,480,2020-01-29,deposit,522
37,168,2020-01-13,deposit,114
38,369,2020-01-25,deposit,376
39,338,2020-01-17,deposit,628
40,296,2020-01-13,deposit,846
41,374,2020-01-08,deposit,117
42,194,2020-01-28,deposit,137
43,135,2020-01-09,deposit,949
44,21,2020-01-12,deposit,28
45,69,2020-01-10,deposit,124
46,32,2020-01-12,deposit,812
47,206,2020-01-09,deposit,811
48,269,2020-01-14,deposit,654
49,460,2020-01-29,deposit,80
50,328,2020-01-22,deposit,393
51,407,2020-01-14,deposit,804
52,351,2020-01-03,deposit,951
53,458,2020-01-04,deposit,715
54,339,2020-01-10,deposit,167
55,496,2020-01-06,deposit,47
56,291,2020-01-20,deposit,930
57,50,2020-01-29,deposit,899
58,265,2020-01-08,deposit,699
59,266,2020-01-17,deposit,651
60,93,2020-01-11,deposit,557
61,1,2020-01-02,deposit,312
62,267,2020-01-19,deposit,31
63,366,2020-01-21,deposit,965
64,92,2020-01-05,deposit,985
65,89,2020-01-25,deposit,210
66,129,2020-01-12,deposit,568
67,198,2020-01-17,deposit,571
68,26,2020-01-17,deposit,878
69,104,2020-01-25,deposit,989
70,466,2020-01-17,deposit,80
71,454,2020-01-08,deposit,603
72,117,2020-01-15,deposit,5
73,46,2020-01-23,deposit,356
74,96,2020-01-03,deposit,753
75,199,2020-01-20,deposit,530
76,55,2020-01-25,deposit,380
77,443,2020-01-28,deposit,760
78,317,2020-01-11,deposit,869
79,52,2020-01-12,deposit,908
80,249,2020-01-14,deposit,336
81,122,2020-01-29,deposit,397
82,59,2020-01-20,deposit,924
83,36,2020-01-30,deposit,149
84,74,2020-01-13,deposit,229
85,238,2020-01-18,deposit,896
86,334,2020-01-15,deposit,933
87,143,2020-01-29,deposit,807
88,406,2020-01-26,deposit,795
89,465,2020-01-28,deposit,955
90,230,2020-01-21,deposit,675
91,487,2020-01-15,deposit,39
92,346,2020-01-21,deposit,916
93,356,2020-01-11,deposit,568
94,142,2020-01-16,deposit,517
95,81,2020-01-25,deposit,403
96,128,2020-01-26,deposit,410
97,205,2020-01-02,deposit,608
98,380,2020-01-03,deposit,487
99,387,2020-01-22,deposit,180
100,95,2020-01-03,deposit,19
101,388,2020-01-09,deposit,833
102,91,2020-01-11,deposit,856
103,144,2020-01-14,deposit,559
104,68,2020-01-20,deposit,574
105,475,2020-01-03,deposit,552
106,247,2020-01-01,deposit,930
107,120,2020-01-23,deposit,824
108,500,2020-01-16,deposit,227
109,384,2020-01-12,deposit,352
110,311,2020-01-17,deposit,918
111,287,2020-01-22,deposit,658
112,112,2020-01-08,deposit,945
113,284,2020-01-30,deposit,257
114,67,2020-01-22,deposit,79
115,70,2020-01-08,deposit,786
116,236,2020-01-27,deposit,356
117,234,2020-01-03,deposit,236
118,420,2020-01-24,deposit,151
119,430,2020-01-20,deposit,829
120,330,2020-01-26,deposit,540
121,162,2020-01-10,deposit,123
122,394,2020-01-04,deposit,854
123,217,2020-01-08,deposit,783
124,5,2020-01-15,deposit,974
125,382,2020-01-03,deposit,140
126,137,2020-01-06,deposit,881
127,327,2020-01-14,deposit,299
128,412,2020-01-01,deposit,381
129,257,2020-01-20,deposit,493
130,416,2020-01-16,deposit,756
131,320,2020-01-10,deposit,725
132,109,2020-01-01,deposit,429
133,348,2020-01-22,deposit,26
134,375,2020-01-19,deposit,647
135,344,2020-01-07,deposit,816
136,261,2020-01-25,deposit,746
137,166,2020-01-22,deposit,957
138,367,2020-01-29,deposit,239
139,352,2020-01-21,deposit,416
140,108,2020-01-30,deposit,530
141,481,2020-01-02,deposit,42
142,331,2020-01-17,deposit,951
143,133,2020-01-10,deposit,279
144,293,2020-01-15,deposit,541
145,172,2020-01-12,deposit,548
146,215,2020-01-27,deposit,822
147,218,2020-01-29,deposit,208
148,20,2020-01-18,deposit,868
149,365,2020-01-25,deposit,595
150,98,2020-01-15,deposit,622
151,354,2020-01-23,deposit,822
152,10,2020-01-13,deposit,556
153,61,2020-01-21,deposit,319
154,160,2020-01-17,deposit,843
155,161,2020-01-08,deposit,526
156,147,2020-01-15,deposit,767
157,301,2020-01-20,deposit,32
158,14,2020-01-25,deposit,205
159,288,2020-01-13,deposit,586
160,219,2020-01-06,deposit,419
161,308,2020-01-14,deposit,782
162,418,2020-01-07,deposit,688
163,167,2020-01-30,deposit,51
164,350,2020-01-13,deposit,167
165,225,2020-01-10,deposit,280
166,187,2020-01-26,deposit,599
167,396,2020-01-01,deposit,334
168,304,2020-01-16,deposit,848
169,343,2020-01-01,deposit,859
170,62,2020-01-16,deposit,218
171,364,2020-01-10,deposit,563
172,207,2020-01-26,deposit,322
173,223,2020-01-11,deposit,431
174,73,2020-01-06,deposit,442
175,299,2020-01-13,deposit,881
176,16,2020-01-13,deposit,421
177,212,2020-01-02,deposit,336
178,381,2020-01-28,deposit,66
179,390,2020-01-15,deposit,102
180,165,2020-01-23,deposit,42
181,442,2020-01-26,deposit,553
182,332,2020-01-27,deposit,594
183,264,2020-01-16,deposit,41
184,64,2020-01-08,deposit,442
185,428,2020-01-15,deposit,280
186,227,2020-01-07,deposit,468
187,116,2020-01-28,deposit,167
188,134,2020-01-08,deposit,358
189,192,2020-01-20,deposit,906
190,452,2020-01-01,deposit,441
191,436,2020-01-05,deposit,401
192,176,2020-01-26,deposit,655
193,408,2020-01-21,deposit,514
194,490,2020-01-23,deposit,271
195,111,2020-01-28,deposit,101
196,372,2020-01-02,deposit,920
197,307,2020-01-14,deposit,363
198,363,2020-01-06,deposit,622
199,22,2020-01-19,deposit,794
200,171,2020-01-17,deposit,471
201,19,2020-01-17,deposit,47
202,289,2020-01-28,deposit,838
203,419,2020-01-11,deposit,711
204,154,2020-01-15,deposit,120
205,156,2020-01-24,deposit,82
206,75,2020-01-22,deposit,234
207,191,2020-01-16,deposit,769
208,71,2020-01-14,deposit,128
209,263,2020-01-16,deposit,312
210,462,2020-01-26,deposit,614
211,405,2020-01-04,deposit,413
212,37,2020-01-29,deposit,946
213,342,2020-01-25,deposit,347
214,371,2020-01-21,deposit,528
215,173,2020-01-14,deposit,720
216,9,2020-01-21,deposit,669
217,302,2020-01-27,deposit,143
218,403,2020-01-13,deposit,232
219,110,2020-01-01,deposit,888
220,492,2020-01-05,deposit,812
221,477,2020-01-04,deposit,101
222,337,2020-01-12,deposit,581
223,345,2020-01-01,deposit,555
224,131,2020-01-10,deposit,932
225,58,2020-01-11,deposit,726
226,99,2020-01-08,deposit,160
227,488,2020-01-08,deposit,304
228,286,2020-01-02,deposit,177
229,240,2020-01-10,deposit,872
230,326,2020-01-12,deposit,478
231,359,2020-01-09,deposit,10
232,72,2020-01-20,deposit,796
233,3,2020-01-27,deposit,144
234,178,2020-01-23,deposit,76
235,146,2020-01-05,deposit,657
236,385,2020-01-15,deposit,585
237,193,2020-01-12,deposit,689
238,279,2020-01-13,deposit,98
239,272,2020-01-11,deposit,706
240,87,2020-01-13,deposit,777
241,244,2020-01-27,deposit,728
242,23,2020-01-21,deposit,334
243,278,2020-01-26,deposit,682
244,484,2020-01-28,deposit,871
245,368,2020-01-17,deposit,100
246,158,2020-01-18,deposit,642
247,148,2020-01-12,deposit,88
248,118,2020-01-03,deposit,683
249,221,2020-01-06,deposit,147
250,126,2020-01-21,deposit,120
251,245,2020-01-30,deposit,76
252,180,2020-01-09,deposit,670
253,258,2020-01-25,deposit,590
254,157,2020-01-06,deposit,721
255,417,2020-01-04,deposit,213
256,184,2020-01-27,deposit,472
257,282,2020-01-24,deposit,74
258,415,2020-01-07,deposit,152
259,195,2020-01-19,deposit,489
260,298,2020-01-16,deposit,36
261,411,2020-01-27,deposit,551
262,66,2020-01-16,deposit,917
263,25,2020-01-28,deposit,174
264,323,2020-01-21,deposit,603
265,270,2020-01-16,deposit,294
266,319,2020-01-06,deposit,83
267,226,2020-01-11,deposit,854
268,468,2020-01-25,deposit,939
269,439,2020-01-26,deposit,430
270,202,2020-01-06,deposit,446
271,250,2020-01-25,deposit,625
272,447,2020-01-03,deposit,188
273,271,2020-01-08,deposit,318
274,353,2020-01-01,deposit,57
275,409,2020-01-22,deposit,155
276,432,2020-01-26,deposit,637
