,week_date,region,platform,segment,customer_type,transactions,sales
0,31/8/20,ASIA,Retail,C3,New,120631,3656163
1,31/8/20,ASIA,Retail,F1,New,31574,996575
2,31/8/20,USA,Retail,null,Guest,529151,16509610
3,31/8/20,EUROPE,Retail,C1,New,4517,141942
4,31/8/20,AFRICA,Retail,C2,New,58046,1758388
5,31/8/20,CANADA,Shopify,F2,Existing,1336,243878
6,31/8/20,AFRICA,Shopify,F3,Existing,2514,519502
7,31/8/20,ASIA,Shopify,F1,Existing,2158,371417
8,31/8/20,AFRICA,Shopify,F2,New,318,49557
9,31/8/20,AFRICA,Retail,C3,New,111032,3888162
10,31/8/20,USA,Shopify,F1,Existing,1398,260773
11,31/8/20,OCEANIA,Shopify,C2,Existing,4661,882690
12,31/8/20,SOUTH AMERICA,Retail,C2,Existing,1029,38762
13,31/8/20,SOUTH AMERICA,Shopify,C4,New,6,917
14,31/8/20,EUROPE,Shopify,F3,Existing,115,35215
15,31/8/20,OCEANIA,Retail,F3,Existing,551905,30371770
16,31/8/20,ASIA,Shopify,C3,Existing,1969,374327
17,31/8/20,AFRICA,Retail,F1,Existing,97604,5185233
18,31/8/20,OCEANIA,Retail,C2,New,111219,2980673
19,31/8/20,USA,Retail,F1,New,11820,463738
20,31/8/20,SOUTH AMERICA,Retail,F3,Existing,1363,65730
21,31/8/20,AFRICA,Retail,C3,Existing,284971,14430196
22,31/8/20,ASIA,Retail,F2,New,70496,2176980
23,31/8/20,AFRICA,Shopify,F1,Existing,2678,478756
24,31/8/20,USA,Shopify,C4,New,22,3319
25,31/8/20,CANADA,Retail,F3,Existing,94274,5306746
26,31/8/20,ASIA,Retail,F1,Existing,94287,4511841
27,31/8/20,EUROPE,Retail,null,New,3064,134249
28,31/8/20,EUROPE,Shopify,F1,New,7,1579
29,31/8/20,SOUTH AMERICA,Retail,C4,New,329,11451
30,31/8/20,SOUTH AMERICA,Retail,F1,Existing,854,31589
31,31/8/20,EUROPE,Shopify,C2,Existing,180,53567
32,31/8/20,EUROPE,Shopify,F2,New,15,4023
33,31/8/20,AFRICA,Retail,C2,Existing,112361,4768214
34,31/8/20,ASIA,Shopify,C2,Existing,2269,396909
35,31/8/20,AFRICA,Shopify,C4,New,58,8562
36,31/8/20,USA,Retail,F3,Existing,142898,8723663
37,31/8/20,OCEANIA,Shopify,C3,Existing,4703,957939
38,31/8/20,SOUTH AMERICA,Shopify,null,New,40,7625
39,31/8/20,USA,Shopify,C1,New,164,20635
40,31/8/20,SOUTH AMERICA,Shopify,C1,New,20,2265
41,31/8/20,EUROPE,Retail,C1,Existing,14583,633917
42,31/8/20,OCEANIA,Shopify,F2,New,452,72293
43,31/8/20,SOUTH AMERICA,Retail,F2,New,382,13839
44,31/8/20,SOUTH AMERICA,Retail,C3,Existing,1503,68009
45,31/8/20,CANADA,Retail,F1,New,7033,269176
46,31/8/20,SOUTH AMERICA,Retail,null,Existing,329,10874
47,31/8/20,CANADA,Retail,F1,Existing,24153,1306932
48,31/8/20,EUROPE,Shopify,null,Existing,15,3507
49,31/8/20,EUROPE,Retail,F3,Existing,18676,1144376
50,31/8/20,SOUTH AMERICA,Shopify,C3,New,19,3325
51,31/8/20,CANADA,Shopify,null,Existing,87,15074
52,31/8/20,CANADA,Retail,C4,Existing,29577,1473178
53,31/8/20,OCEANIA,Retail,F1,New,41631,1369115
54,31/8/20,ASIA,Retail,F3,Existing,402652,20255591
55,31/8/20,ASIA,Retail,null,Guest,1936351,48773122
56,31/8/20,ASIA,Shopify,C2,New,413,55780
57,31/8/20,EUROPE,Shopify,F3,New,4,554
58,31/8/20,USA,Retail,C2,Existing,43493,2126153
59,31/8/20,OCEANIA,Retail,C2,Existing,169157,6603287
60,31/8/20,AFRICA,Shopify,null,Guest,5893,1026838
61,31/8/20,ASIA,Retail,C3,Existing,245151,11086427
62,31/8/20,CANADA,Shopify,C4,Existing,119,19049
63,31/8/20,ASIA,Shopify,F2,Existing,2983,564306
64,31/8/20,SOUTH AMERICA,Shopify,F3,Existing,32,7331
65,31/8/20,USA,Retail,F1,Existing,40076,2272687
66,31/8/20,SOUTH AMERICA,Shopify,C4,Existing,7,1562
67,31/8/20,CANADA,Shopify,null,New,88,12836
68,31/8/20,AFRICA,Retail,C4,New,46545,1548637
69,31/8/20,USA,Shopify,C2,New,228,45518
70,31/8/20,SOUTH AMERICA,Retail,C3,New,1045,37786
71,31/8/20,ASIA,Shopify,C4,Existing,279,48624
72,31/8/20,ASIA,Retail,null,New,66042,2156778
73,31/8/20,AFRICA,Retail,C4,Existing,117018,5941067
74,31/8/20,EUROPE,Retail,F1,Existing,6769,395877
75,31/8/20,AFRICA,Retail,F3,Existing,403810,22712143
76,31/8/20,SOUTH AMERICA,Shopify,F1,Existing,74,16149
77,31/8/20,CANADA,Retail,F2,Existing,61517,3322211
78,31/8/20,EUROPE,Retail,F3,New,1655,66422
79,31/8/20,AFRICA,Shopify,F1,New,201,27184
80,31/8/20,ASIA,Shopify,null,Guest,5794,979807
81,31/8/20,AFRICA,Retail,F1,New,23416,833470
82,31/8/20,OCEANIA,Retail,F1,Existing,144056,7178808
83,31/8/20,OCEANIA,Retail,C4,Existing,151673,7422165
84,31/8/20,CANADA,Shopify,C1,Existing,585,91616
85,31/8/20,CANADA,Retail,F2,New,18180,661362
86,31/8/20,CANADA,Retail,C1,New,30402,786613
87,31/8/20,SOUTH AMERICA,Shopify,C1,Existing,69,11755
88,31/8/20,USA,Retail,C2,New,26620,883573
89,31/8/20,AFRICA,Retail,null,New,58165,2232935
90,31/8/20,CANADA,Shopify,C1,New,97,12438
91,31/8/20,SOUTH AMERICA,Shopify,F2,Existing,37,8473
92,31/8/20,EUROPE,Retail,C2,New,2857,104677
93,31/8/20,OCEANIA,Retail,C4,New,65594,2016930
94,31/8/20,EUROPE,Retail,C2,Existing,9710,461694
95,31/8/20,EUROPE,Shopify,C4,New,3,1221
96,31/8/20,OCEANIA,Shopify,C3,New,567,95547
97,31/8/20,USA,Retail,C1,New,36069,990085
98,31/8/20,ASIA,Retail,F2,Existing,220712,10624187
99,31/8/20,OCEANIA,Shopify,null,Guest,11218,2078649
100,31/8/20,USA,Shopify,C3,New,205,33536
101,31/8/20,AFRICA,Shopify,C1,New,299,35957
102,31/8/20,EUROPE,Retail,F1,New,953,40760
103,31/8/20,SOUTH AMERICA,Shopify,C2,New,45,8917
104,31/8/20,CANADA,Shopify,C3,Existing,846,154393
105,31/8/20,USA,Retail,C1,Existing,57648,2393490
106,31/8/20,EUROPE,Shopify,C1,New,21,3288
107,31/8/20,SOUTH AMERICA,Shopify,F2,New,9,1437
108,31/8/20,OCEANIA,Shopify,F3,New,190,30264
109,31/8/20,AFRICA,Shopify,C3,Existing,2647,530397
110,31/8/20,CANADA,Shopify,C4,New,21,2494
111,31/8/20,OCEANIA,Retail,F2,New,91435,3101538
112,31/8/20,EUROPE,Retail,C3,New,3843,158799
113,31/8/20,USA,Retail,F3,New,28987,1096531
114,31/8/20,ASIA,Shopify,F2,New,245,35519
115,31/8/20,OCEANIA,Retail,C3,Existing,339633,16520774
116,31/8/20,EUROPE,Shopify,C3,Existing,182,45036
117,31/8/20,CANADA,Shopify,F3,Existing,659,126801
118,31/8/20,AFRICA,Shopify,C3,New,340,56734
119,31/8/20,ASIA,Retail,C1,Existing,187781,6218547
120,31/8/20,OCEANIA,Shopify,F2,Existing,6870,1373529
121,31/8/20,OCEANIA,Retail,C1,New,172521,3964262
122,31/8/20,CANADA,Shopify,C2,New,105,14694
123,31/8/20,CANADA,Retail,F3,New,19524,690966
124,31/8/20,ASIA,Retail,C4,New,53286,1520060
125,31/8/20,SOUTH AMERICA,Retail,C1,New,2466,52421
126,31/8/20,EUROPE,Retail,null,Guest,97001,3352338
127,31/8/20,CANADA,Shopify,F3,New,36,6107
128,31/8/20,USA,Shopify,F2,Existing,2031,402380
129,31/8/20,AFRICA,Retail,F2,Existing,277600,14910405
130,31/8/20,USA,Shopify,F2,New,157,25858
131,31/8/20,EUROPE,Shopify,null,New,20,4085
132,31/8/20,OCEANIA,Shopify,C1,Existing,2801,481198
133,31/8/20,CANADA,Retail,null,Guest,396145,11133538
134,31/8/20,USA,Retail,F2,New,28592,1063716
135,31/8/20,CANADA,Retail,C2,Existing,23062,1001335
136,31/8/20,OCEANIA,Retail,null,Guest,2437738,63989387
137,31/8/20,EUROPE,Shopify,null,Guest,343,79359
138,31/8/20,OCEANIA,Shopify,F3,Existing,3920,836865
139,31/8/20,ASIA,Shopify,null,Existing,384,67279
140,31/8/20,SOUTH AMERICA,Retail,F3,New,329,11863
141,31/8/20,EUROPE,Retail,F2,New,1738,72565
142,31/8/20,OCEANIA,Retail,F3,New,110894,3749562
143,31/8/20,USA,Shopify,null,Existing,196,40740
144,31/8/20,USA,Retail,C3,Existing,102736,5786447
145,31/8/20,EUROPE,Retail,C4,Existing,4652,250536
146,31/8/20,OCEANIA,Retail,null,Existing,50786,2056315
147,31/8/20,SOUTH AMERICA,Shopify,F3,New,3,372
148,31/8/20,OCEANIA,Shopify,C4,Existing,731,136743
149,31/8/20,CANADA,Shopify,C3,New,115,16103
150,31/8/20,SOUTH AMERICA,Shopify,null,Guest,2172,407861
151,31/8/20,USA,Shopify,F3,New,63,10501
152,31/8/20,CANADA,Retail,C4,New,13579,451994
153,31/8/20,USA,Shopify,C4,Existing,164,29757
154,31/8/20,CANADA,Shopify,C2,Existing,726,125653
155,31/8/20,ASIA,Shopify,C3,New,247,35572
156,31/8/20,ASIA,Shopify,C1,New,277,35314
157,31/8/20,OCEANIA,Shopify,null,New,507,83877
158,31/8/20,ASIA,Retail,C1,New,132545,2819145
159,31/8/20,ASIA,Retail,F3,New,89785,2770220
160,31/8/20,USA,Shopify,F3,Existing,1083,224778
161,31/8/20,ASIA,Shopify,C1,Existing,1282,210754
162,31/8/20,AFRICA,Shopify,null,New,300,51883
163,31/8/20,OCEANIA,Shopify,C4,New,100,15077
164,31/8/20,SOUTH AMERICA,Retail,C4,Existing,414,18437
165,31/8/20,SOUTH AMERICA,Shopify,null,Existing,3,472
166,31/8/20,CANADA,Retail,null,Existing,8410,411147
167,31/8/20,EUROPE,Shopify,F2,Existing,249,55333
168,31/8/20,SOUTH AMERICA,Retail,C1,Existing,3087,85926
169,31/8/20,AFRICA,Shopify,F3,New,122,20927
170,31/8/20,AFRICA,Retail,null,Existing,37883,1657269
171,31/8/20,ASIA,Shopify,C4,New,46,6147
172,31/8/20,ASIA,Retail,C4,Existing,110176,4894437
173,31/8/20,AFRICA,Retail,null,Guest,1547309,44346247
174,31/8/20,OCEANIA,Shopify,F1,Existing,4498,839437
175,31/8/20,CANADA,Shopify,F1,Existing,789,134990
176,31/8/20,SOUTH AMERICA,Shopify,C3,Existing,109,23057
177,31/8/20,EUROPE,Retail,C4,New,1352,49263
178,31/8/20,ASIA,Retail,null,Existing,38663,1493771
179,31/8/20,AFRICA,Shopify,C2,New,389,57455
180,31/8/20,CANADA,Retail,null,New,14685,561282
181,31/8/20,USA,Retail,null,New,22186,930478
182,31/8/20,OCEANIA,Shopify,C2,New,842,132424
183,31/8/20,USA,Shopify,F1,New,135,20860
184,31/8/20,AFRICA,Retail,C1,Existing,186404,6891042
185,31/8/20,AFRICA,Shopify,C1,Existing,1689,269373
186,31/8/20,SOUTH AMERICA,Retail,null,Guest,413244,16755039
187,31/8/20,ASIA,Shopify,F1,New,228,33200
188,31/8/20,OCEANIA,Retail,C1,Existing,260181,9284850
189,31/8/20,EUROPE,Retail,F2,Existing,14482,887564
