,id,interest_name,interest_summary,created_at,last_modified
0,1,Fitness Enthusiasts,Consumers using fitness tracking apps and websites.,2016-05-26 14:57:59,2018-05-23 11:30:12
1,2,Gamers,Consumers researching game reviews and cheat codes.,2016-05-26 14:57:59,2018-05-23 11:30:12
2,3,Car Enthusiasts,Readers of automotive news and car reviews.,2016-05-26 14:57:59,2018-05-23 11:30:12
3,4,Luxury Retail Researchers,Consumers researching luxury product reviews and gift ideas.,2016-05-26 14:57:59,2018-05-23 11:30:12
4,5,Brides & Wedding Planners,People researching wedding ideas and vendors.,2016-05-26 14:57:59,2018-05-23 11:30:12
5,6,Vacation Planners,Consumers reading reviews of vacation destinations and accommodations.,2016-05-26 14:57:59,2018-05-23 11:30:13
6,7,Motorcycle Enthusiasts,Readers of motorcycle news and reviews.,2016-05-26 14:57:59,2018-05-23 11:30:13
7,8,Business News Readers,Readers of online business news content.,2016-05-26 14:57:59,2018-05-23 11:30:12
8,12,Thrift Store Shoppers,Consumers shopping online for clothing at thrift stores and researching locations.,2016-05-26 14:57:59,2018-03-16 13:14:00
9,13,Advertising Professionals,People who read advertising industry news.,2016-05-26 14:57:59,2018-05-23 11:30:12
10,14,NFL Fans,People reading articles and websites about football and the NFL.,2016-05-26 14:57:59,2018-05-23 11:30:13
11,15,NBA Fans,People reading articles and websites about basketball and the NBA.,2016-05-26 14:57:59,2018-05-23 11:30:13
12,16,NCAA Fans,People reading articles and websites about college sports and the NCAA.,2016-05-26 14:57:59,2018-05-23 11:30:13
13,17,MLB Fans,People reading articles and websites about baseball and the MLB.,2016-05-26 14:57:59,2018-05-23 11:30:13
14,18,Nascar Fans,People reading articles and websites about nascar.,2016-05-26 14:57:59,2018-05-23 11:30:13
15,19,Eco-Conscious Consumers,People researching climate change and sustainable living.,2016-05-26 14:57:59,2018-05-23 11:30:12
16,20,Moviegoers,Consumers researching box office listings and buying movie tickets.,2016-05-26 14:57:59,2018-05-23 11:30:13
17,21,DIYers,Consumers researching DIY projects.,2016-05-26 14:57:59,2018-05-23 11:30:12
18,22,Grill Masters,Grill owners researching new recipes.,2016-05-26 14:57:59,2018-05-23 11:30:12
19,23,Techies,Readers of tech news and gadget reviews.,2016-05-26 14:57:59,2018-05-23 11:30:13
20,24,Home Design Enthusiasts,Consumers researching home design styles and trends.,2016-05-26 14:57:59,2018-05-23 11:30:12
21,25,Doctors,People reading medical journals and using online prescribing services.,2016-05-26 14:57:59,2018-05-23 11:30:12
22,26,Streaming Video Fans,Consumers streaming feature length movies and TV shows.,2016-05-26 14:57:59,2018-05-23 11:30:13
23,27,Auto Insurance Shoppers,Consumers shopping for auto insurance.,2016-05-26 14:57:59,2018-05-23 11:30:12
24,28,Teachers,People reading education industry publications and teaching advice websites.,2016-05-26 14:57:59,2018-05-23 11:30:13
25,29,College Students,People visiting university websites.,2016-05-26 14:57:59,2018-05-23 11:30:12
26,30,Department Store Shoppers,Consumes shopping at multi-category department stores.,2016-05-26 14:57:59,2018-05-23 11:30:12
27,31,Home Decor Shoppers,"Consumers shopping for home design, art and accessories.",2016-05-26 14:57:59,2018-05-23 11:30:12
28,33,Kids Clothing Shoppers,Consumers shopping for childrens apparel.,2016-05-26 14:57:59,2018-05-23 11:30:12
29,34,Teen Girl Clothing Shoppers,Consumers in-market for clothing for teenage girls.,2016-05-26 14:57:59,2018-05-23 11:30:13
30,35,Mens Clothing Shoppers,Consumers in-market for mens clothing.,2016-05-26 14:57:59,2018-05-23 11:30:13
31,36,Baby Products Buyers,Consumers shopping for baby-related products.,2016-05-26 14:57:59,2018-05-23 11:30:12
32,37,Jewelry & Watch Shoppers,Consumers researching high-end watch and jewelry brands.,2016-05-26 14:57:59,2018-05-23 11:30:12
33,38,Sporting Goods Shoppers,Consumers shopping for sporting goods and activewear apparel.,2016-05-26 14:57:59,2018-05-23 11:30:13
34,39,Furniture Shoppers,Consumers shopping for major home furnishings.,2016-05-26 14:57:59,2018-05-23 11:30:12
35,40,Bed & Bath Shoppers,Consumers shopping for bed and bath products.,2016-05-26 14:57:59,2018-05-23 11:30:12
36,41,Intimates Shoppers,Consumers shopping for lingerie.,2016-05-26 14:57:59,2018-05-23 11:30:12
37,42,Fast Fashion Shoppers,Consumers shopping for apparel that mimics current runway trends.,2016-05-26 14:57:59,2018-05-23 11:30:12
38,43,Apartment Hunters,People reading real estate rental listings.,2016-05-26 14:57:59,2018-05-23 11:30:12
39,44,Home Buyers,People reading real estate sales listings.,2016-05-26 14:57:59,2018-05-23 11:30:12
40,45,Moving Services Shoppers,Consumers who are shopping for moving services.,2016-05-26 14:57:59,2018-05-23 11:30:13
41,46,Job Seekers,People researching job boards.,2016-05-26 14:57:59,2018-05-23 11:30:12
42,48,Charitable Donors,People researching major charitable organizations.,2016-05-26 14:57:59,2018-05-23 11:30:12
43,49,NHL Fans,People reading articles and websites about hockey and the NHL.,2016-05-26 14:57:59,2018-05-23 11:30:13
44,50,Discount Big Box Shoppers,Consumers shopping at big box retailers.,2016-05-26 14:57:59,2018-05-23 11:30:12
45,51,Black Friday Deal Shoppers,Consumers researching holiday sales events.,2016-05-26 14:57:59,2018-05-23 11:30:12
46,53,Hip Hop Fans,People reading about hip hop music and hip hop stars.,2016-05-26 14:57:59,2018-05-23 11:30:12
47,54,Online Investors,Consumers with an active online trading account.,2016-05-26 14:57:59,2018-05-23 11:30:13
48,55,Seasonal Allergy Sufferers,People researching allergy trends and treatment options.,2016-05-26 14:57:59,2018-05-23 11:30:13
49,56,Discount Device Shoppers,Consumers shopping for discounted electronics.,2016-05-26 14:57:59,2018-05-23 11:30:12
50,57,Mobile Phone Comparison Shoppers,Consumers researching alternative mobile phones and wireless plans.,2016-05-26 14:57:59,2018-05-23 11:30:13
51,58,Budget Wireless Shoppers,Consumers researching discount wireless service plans.,2016-05-26 14:57:59,2018-05-23 11:30:12
52,59,Menopause Researchers,People researching menopause symptoms.,2016-05-26 14:57:59,2018-05-23 11:30:13
53,60,Online Health Researchers,People researching general health questions.,2016-05-26 14:57:59,2018-05-23 11:30:13
54,61,Beauty & Skincare Buyers,Consumers shopping for beauty and skincare products.,2016-05-26 14:57:59,2018-05-23 11:30:12
55,62,Streaming Device Shoppers,Consumers shopping for connected TV products.,2016-05-26 14:57:59,2018-05-23 11:30:13
56,63,New & Expecting Parents,People researching pregnancy issues and baby names.,2016-05-26 14:57:59,2018-05-23 11:30:13
57,64,High-End Kids Furniture and Clothes Shoppers,People shopping at high end childrens clothing and toy retailers.,2016-05-26 14:57:59,2018-05-23 11:30:12
58,65,Hands-On Parents,"People reading about family cooking, parenting advice and childrens activities.",2016-05-26 14:57:59,2018-05-23 11:30:12
59,66,Fantasy & Comic Fans,Consumers of online comics and fantasy novels.,2016-05-26 14:57:59,2018-05-23 11:30:12
60,67,Lawyers,People reading legal journals and industry publications.,2016-05-26 14:57:59,2018-05-23 11:30:12
61,69,Healthy Eaters,People researching healthy eating options.,2016-05-26 14:57:59,2018-05-23 11:30:12
62,70,Drug Store Shoppers,Consumers shopping online or searching for a local drug store.,2016-05-26 14:57:59,2018-05-23 11:30:12
