,_month,_year,month_year,interest_id,composition,index_value,ranking,percentile_ranking
0,7,2018,07-2018,32486,11.89,6.19,1,99.86
1,7,2018,07-2018,6106,9.93,5.31,2,99.73
2,7,2018,07-2018,18923,10.85,5.29,3,99.59
3,7,2018,07-2018,6344,10.32,5.1,4,99.45
4,7,2018,07-2018,100,10.77,5.04,5,99.31
5,7,2018,07-2018,69,10.82,5.03,6,99.18
6,7,2018,07-2018,79,11.21,4.97,7,99.04
7,7,2018,07-2018,6111,10.71,4.83,8,98.9
8,7,2018,07-2018,6214,9.71,4.83,8,98.9
9,7,2018,07-2018,19422,10.11,4.81,10,98.63
10,7,2018,07-2018,6110,11.57,4.79,11,98.49
11,7,2018,07-2018,4895,9.47,4.67,12,98.35
12,7,2018,07-2018,6217,10.8,4.62,13,98.22
13,7,2018,07-2018,4,13.97,4.53,14,98.08
14,7,2018,07-2018,6218,9.29,4.5,15,97.94
15,7,2018,07-2018,6123,9.49,4.49,16,97.81
16,7,2018,07-2018,171,14.91,4.47,17,97.67
17,7,2018,07-2018,19613,12.62,4.38,18,97.53
18,7,2018,07-2018,17,7.89,4.15,19,97.39
19,7,2018,07-2018,6,11.99,4.08,20,97.26
20,7,2018,07-2018,6013,9.35,3.99,21,97.12
21,7,2018,07-2018,4870,10.29,3.95,22,96.98
22,7,2018,07-2018,19423,12.22,3.92,23,96.84
23,7,2018,07-2018,6089,6.97,3.84,24,96.71
24,7,2018,07-2018,161,11.48,3.82,25,96.57
25,7,2018,07-2018,6286,14.1,3.82,25,96.57
26,7,2018,07-2018,5991,11.04,3.81,27,96.3
27,7,2018,07-2018,92,9.77,3.77,28,96.16
28,7,2018,07-2018,6184,13.35,3.75,29,96.02
29,7,2018,07-2018,19621,11.61,3.74,30,95.88
30,7,2018,07-2018,63,9.37,3.73,31,95.75
31,7,2018,07-2018,103,6.61,3.69,32,95.61
32,7,2018,07-2018,38,9.48,3.66,33,95.47
33,7,2018,07-2018,17786,13.67,3.65,34,95.34
34,7,2018,07-2018,6232,9.97,3.64,35,95.2
35,7,2018,07-2018,165,6.05,3.59,36,95.06
36,7,2018,07-2018,18351,6.09,3.58,37,94.92
37,7,2018,07-2018,15,6.9,3.56,38,94.79
38,NULL,NULL,NULL,NULL,6.12,2.85,43,96.4
39,7,2018,07-2018,17314,10.43,3.55,39,94.65
40,7,2018,07-2018,6151,6.83,3.55,39,94.65
41,7,2018,07-2018,4914,7.42,3.55,39,94.65
42,7,2018,07-2018,115,11.68,3.53,42,94.24
43,7,2018,07-2018,5968,12.87,3.53,42,94.24
44,7,2018,07-2018,36,9.27,3.51,44,93.96
45,7,2018,07-2018,5943,6.37,3.48,45,93.83
46,7,2018,07-2018,133,10.91,3.44,46,93.69
47,7,2018,07-2018,1,7.02,3.44,46,93.69
